name;link;KOI;massJupiter;massEarth;radiusJupiter;radiusEarth;density;temp;transit;period;sma;ecc;inc;dist
Kepler-46d;http://kepler.nasa.gov/Mission/discoveries/kepler46d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00872.02&type=KEPLER_CANDIDATE;;;0.146;1.64;;793;2.5968;6.766589;0.067;;88.24;855
Kepler-47b;http://kepler.nasa.gov/Mission/discoveries/kepler47b;;2;636;0.27;3.03;;;;49.532;0.2962;;89.7;1500
Kepler-47c;http://kepler.nasa.gov/Mission/discoveries/kepler47c;;28;8899;0.411;4.62;;;;303.137;0.991;;89.825;1500
Kepler-48b;http://kepler.nasa.gov/Mission/discoveries/kepler48b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00148.01&type=KEPLER_CANDIDATE;5.94;1887.83;0.191;2.14;;937;2.8416;4.7779803;0.053;;84.8;
Kepler-48c;http://kepler.nasa.gov/Mission/discoveries/kepler48c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00148.02&type=KEPLER_CANDIDATE;11.61;3689.85;0.28;3.14;;740;3.5016;9.6739283;0.085;;86.52;
Kepler-48d;http://kepler.nasa.gov/Mission/discoveries/kepler48d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00148.03&type=KEPLER_CANDIDATE;0.025;7.93;0.182;2.04;5.08;450;7.464;42.8961;0.23;;88.81;
Kepler-48e;http://kepler.nasa.gov/Mission/discoveries/kepler48e;;2.067;657;;;;;;982;;;;
Kepler-49b;http://kepler.nasa.gov/Mission/discoveries/kepler49b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00248.01&type=KEPLER_CANDIDATE;0.98;311.46;0.243;2.72;;531;2.976;7.2037945;0.06;;84.8;
Kepler-49c;http://kepler.nasa.gov/Mission/discoveries/kepler49c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00248.02&type=KEPLER_CANDIDATE;0.72;228.83;0.227;2.55;;463;2.8584;10.9129343;0.079;;85.94;
Kepler-49d;http://kepler.nasa.gov/Mission/discoveries/kepler49d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00248.03&type=KEPLER_CANDIDATE;;;0.143;1.6;;751;1.596;2.576549;0.031;;79.07;
Kepler-49e;http://kepler.nasa.gov/Mission/discoveries/kepler49e;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00248.04&type=KEPLER_CANDIDATE;;;0.139;1.56;;387;2.1648;18.596108;0.116;;87.09;
Kepler-50b;http://kepler.nasa.gov/Mission/discoveries/kepler50b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00262.01&type=KEPLER_CANDIDATE;;;0.153;1.71;;1278;3.7992;7.81254;0.077;;82.51;
Kepler-50c;http://kepler.nasa.gov/Mission/discoveries/kepler50c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00262.02&type=KEPLER_CANDIDATE;;;0.194;2.17;;1200;2.0592;9.37647;0.087;;82.51;
Kepler-51b;http://kepler.nasa.gov/Mission/discoveries/kepler51b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00620.01&type=KEPLER_CANDIDATE;0.007;2.1;0.633;7.1;0.03;543;5.7799;45.154;0.2514;0.04;89.95;
Kepler-51c;http://kepler.nasa.gov/Mission/discoveries/kepler51c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00620.03&type=KEPLER_CANDIDATE;0.013;4;0.803;9;0.03;439;2.7849;85.312;0.384;0.014;89.38;
Kepler-51d;http://kepler.nasa.gov/Mission/discoveries/kepler51d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00620.02&type=KEPLER_CANDIDATE;0.024;7.6;0.865;9.7;0.046;381;8.4192;130.1831;0.509;0.008;89.95;
Kepler-52b;http://kepler.nasa.gov/Mission/discoveries/kepler52b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00775.02&type=KEPLER_CANDIDATE;8.7;2765;0.187;2.1;;541;2.4216;7.8773565;0.065;;87.09;
Kepler-52c;http://kepler.nasa.gov/Mission/discoveries/kepler52c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00775.01&type=KEPLER_CANDIDATE;10.41;3308.41;0.164;1.84;;425;3.1248;16.3850021;0.105;;88.24;
Kepler-52d;http://kepler.nasa.gov/Mission/discoveries/kepler52d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00775.03&type=KEPLER_CANDIDATE;;;0.174;1.95;;326;4.152;36.445171;0.182;;88.81;
Kepler-53b;http://kepler.nasa.gov/Mission/discoveries/kepler53b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00829.01&type=KEPLER_CANDIDATE;18.41;5851;0.258;2.89;;703;4.4808;18.6489525;0.141;;88.24;
Kepler-53c;http://kepler.nasa.gov/Mission/discoveries/kepler53c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00829.03&type=KEPLER_CANDIDATE;;;0.283;3.17;;553;5.016;38.5583038;0.228;;88.81;
Kepler-53d;http://kepler.nasa.gov/Mission/discoveries/kepler53d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00829.02&type=KEPLER_CANDIDATE;;;0.189;2.12;;875;4.1904;9.751962;0.091;;87.09;
Kepler-54b;http://kepler.nasa.gov/Mission/discoveries/kepler54b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00886.01&type=KEPLER_CANDIDATE;0.92;292.39;0.187;2.1;;478;3.4128;8.0109434;0.063;;83.08;
Kepler-54c;http://kepler.nasa.gov/Mission/discoveries/kepler54c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00886.02&type=KEPLER_CANDIDATE;0.37;117.59;0.11;1.23;;417;4.9728;12.0717249;0.083;;84.8;
Kepler-54d;http://kepler.nasa.gov/Mission/discoveries/kepler54d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00886.03&type=KEPLER_CANDIDATE;;;0.136;1.53;;348;2.6976;20.995694;0.126;;85.94;
Kepler-55b;http://kepler.nasa.gov/Mission/discoveries/kepler55b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00904.02&type=KEPLER_CANDIDATE;1.49;473.55;0.217;2.43;;392;3.4944;27.9481449;0.155;;89.95;
Kepler-55c;http://kepler.nasa.gov/Mission/discoveries/kepler55c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00904.03&type=KEPLER_CANDIDATE;1.11;352.78;0.197;2.21;;343;5.0616;42.1516418;0.203;;89.95;
Kepler-55d;http://kepler.nasa.gov/Mission/discoveries/kepler55d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00904.01&type=KEPLER_CANDIDATE;;;0.142;1.59;;906;1.644;2.211099;0.029;;84.22;
Kepler-55e;http://kepler.nasa.gov/Mission/discoveries/kepler55e;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00904.04&type=KEPLER_CANDIDATE;;;0.138;1.55;;712;2.1312;4.617534;0.048;;86.52;
Kepler-55f;http://kepler.nasa.gov/Mission/discoveries/kepler55f;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00904.05&type=KEPLER_CANDIDATE;;;0.142;1.59;;549;2.172;10.198545;0.081;;87.66;
Kepler-56b;http://kepler.nasa.gov/Mission/discoveries/kepler56b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01241.02&type=KEPLER_CANDIDATE;0.07;22.1;0.581;6.51;0.442;1196;13.5401;10.5016;0.1028;;79.64;
