name;link;KOI;massJupiter;massEarth;radiusJupiter;radiusEarth;density;temp;transit;period;sma;ecc;inc;dist
Kepler-220d;http://kepler.nasa.gov/Mission/discoveries/kepler220d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00719.02&type=KEPLER_CANDIDATE;;;0.087;0.98;;416;4.104;28.122397;0.163;;89.95;
Kepler-220e;http://kepler.nasa.gov/Mission/discoveries/kepler220e;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00719.03&type=KEPLER_CANDIDATE;;;0.119;1.33;;353;5.088;45.902733;0.226;;89.95;
Kepler-221b;http://kepler.nasa.gov/Mission/discoveries/kepler221b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00720.04&type=KEPLER_CANDIDATE;;;0.153;1.71;;1111;2.064;2.795906;0.037;;89.38;
Kepler-221c;http://kepler.nasa.gov/Mission/discoveries/kepler221c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00720.01&type=KEPLER_CANDIDATE;;;0.261;2.93;;875;2.5224;5.690586;0.059;;88.81;
Kepler-221d;http://kepler.nasa.gov/Mission/discoveries/kepler221d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00720.02&type=KEPLER_CANDIDATE;;;0.244;2.73;;723;2.5296;10.04156;0.087;;88.24;
Kepler-221e;http://kepler.nasa.gov/Mission/discoveries/kepler221e;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00720.03&type=KEPLER_CANDIDATE;;;0.235;2.63;;591;2.244;18.369917;0.13;;88.81;
Kepler-222b;http://kepler.nasa.gov/Mission/discoveries/kepler222b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00723.01&type=KEPLER_CANDIDATE;;;0.282;3.16;;955;1.8288;3.936981;0.048;;85.94;
Kepler-222c;http://kepler.nasa.gov/Mission/discoveries/kepler222c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00723.03&type=KEPLER_CANDIDATE;;;0.414;4.64;;694;1.7136;10.08881;0.091;;87.66;
Kepler-222d;http://kepler.nasa.gov/Mission/discoveries/kepler222d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00723.02&type=KEPLER_CANDIDATE;;;0.329;3.69;;494;4.5408;28.081912;0.18;;89.38;
Kepler-223b;http://kepler.nasa.gov/Mission/discoveries/kepler223b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00730.04&type=KEPLER_CANDIDATE;;;0.151;1.69;;964;5.4168;7.384108;0.073;;89.95;
Kepler-223c;http://kepler.nasa.gov/Mission/discoveries/kepler223c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00730.02&type=KEPLER_CANDIDATE;;;0.178;2;;878;5.832;9.848183;0.088;;88.81;
Kepler-223d;http://kepler.nasa.gov/Mission/discoveries/kepler223d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00730.01&type=KEPLER_CANDIDATE;;;0.266;2.98;;765;5.9664;14.788759;0.116;;88.24;
Kepler-223e;http://kepler.nasa.gov/Mission/discoveries/kepler223e;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00730.03&type=KEPLER_CANDIDATE;;;0.214;2.4;;696;5.82;19.721734;0.14;;88.24;
Kepler-224b;http://kepler.nasa.gov/Mission/discoveries/kepler224b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00733.03&type=KEPLER_CANDIDATE;;;0.124;1.39;;990;2.0328;3.132924;0.038;;89.38;
Kepler-224c;http://kepler.nasa.gov/Mission/discoveries/kepler224c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00733.01&type=KEPLER_CANDIDATE;;;0.278;3.12;;798;2.844;5.925003;0.058;;89.38;
Kepler-224d;http://kepler.nasa.gov/Mission/discoveries/kepler224d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00733.02&type=KEPLER_CANDIDATE;;;0.205;2.3;;641;3.1128;11.349393;0.089;;89.38;
Kepler-224e;http://kepler.nasa.gov/Mission/discoveries/kepler224e;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00733.04&type=KEPLER_CANDIDATE;;;0.176;1.97;;544;1.8456;18.643577;0.124;;88.81;
Kepler-225b;http://kepler.nasa.gov/Mission/discoveries/kepler225b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00736.02&type=KEPLER_CANDIDATE;;;0.107;1.2;;586;3.0168;6.738975;0.056;;89.95;
Kepler-225c;http://kepler.nasa.gov/Mission/discoveries/kepler225c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00736.01&type=KEPLER_CANDIDATE;;;0.164;1.84;;418;3.2784;18.794234;0.111;;88.81;
Kepler-226b;http://kepler.nasa.gov/Mission/discoveries/kepler226b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00749.02&type=KEPLER_CANDIDATE;;;0.138;1.55;;1015;2.5968;3.940997;0.047;;85.94;
Kepler-226c;http://kepler.nasa.gov/Mission/discoveries/kepler226c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00749.01&type=KEPLER_CANDIDATE;;;0.203;2.27;;914;3.0504;5.349555;0.058;;87.66;
Kepler-226d;http://kepler.nasa.gov/Mission/discoveries/kepler226d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00749.03&type=KEPLER_CANDIDATE;;;0.109;1.22;;793;3.6984;8.109044;0.076;;87.66;
Kepler-227b;http://kepler.nasa.gov/Mission/discoveries/kepler227b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00752.01&type=KEPLER_CANDIDATE;;;0.277;3.11;;867;3.1128;9.488015;0.09;;89.38;
Kepler-227c;http://kepler.nasa.gov/Mission/discoveries/kepler227c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00752.02&type=KEPLER_CANDIDATE;;;0.271;3.04;;483;4.512;54.418694;0.29;;89.38;
Kepler-228b;http://kepler.nasa.gov/Mission/discoveries/kepler228b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00756.03&type=KEPLER_CANDIDATE;;;0.136;1.53;;1336;2.328;2.566546;0.038;;77.92;
Kepler-228c;http://kepler.nasa.gov/Mission/discoveries/kepler228c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00756.02&type=KEPLER_CANDIDATE;;;0.241;2.7;;1138;3.1224;4.134444;0.052;;81.36;
Kepler-228d;http://kepler.nasa.gov/Mission/discoveries/kepler228d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00756.01&type=KEPLER_CANDIDATE;;;0.36;4.04;;817;4.5912;11.094286;0.101;;85.94;
Kepler-229b;http://kepler.nasa.gov/Mission/discoveries/kepler229b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00757.03&type=KEPLER_CANDIDATE;;;0.196;2.2;;755;2.64;6.252972;0.062;;89.95;
Kepler-229c;http://kepler.nasa.gov/Mission/discoveries/kepler229c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00757.01&type=KEPLER_CANDIDATE;;;0.439;4.92;;555;3.5472;16.068638;0.117;;89.38;
Kepler-229d;http://kepler.nasa.gov/Mission/discoveries/kepler229d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00757.02&type=KEPLER_CANDIDATE;;;0.343;3.85;;405;5.0208;41.194912;0.22;;89.95;
Kepler-230b;http://kepler.nasa.gov/Mission/discoveries/kepler230b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00759.01&type=KEPLER_CANDIDATE;;;0.38;4.26;;513;5.784;32.625555;0.191;;88.24;
Kepler-230c;http://kepler.nasa.gov/Mission/discoveries/kepler230c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00759.02&type=KEPLER_CANDIDATE;;;0.182;2.04;;363;6.0336;91.773242;0.38;;88.81;
Kepler-231b;http://kepler.nasa.gov/Mission/discoveries/kepler231b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00784.02&type=KEPLER_CANDIDATE;;;0.154;1.73;;503;1.44;10.065275;0.074;;88.24;
Kepler-231c;http://kepler.nasa.gov/Mission/discoveries/kepler231c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00784.01&type=KEPLER_CANDIDATE;;;0.172;1.93;;406;3.2088;19.271566;0.114;;89.38;
Kepler-232b;http://kepler.nasa.gov/Mission/discoveries/kepler232b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00787.01&type=KEPLER_CANDIDATE;;;0.275;3.08;;1047;3.1728;4.431222;0.054;;89.38;
Kepler-232c;http://kepler.nasa.gov/Mission/discoveries/kepler232c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00787.02&type=KEPLER_CANDIDATE;;;0.342;3.83;;762;2.6112;11.379349;0.101;;87.66;
Kepler-233b;http://kepler.nasa.gov/Mission/discoveries/kepler233b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00790.01&type=KEPLER_CANDIDATE;;;0.217;2.43;;734;2.6976;8.472382;0.077;;88.81;
Kepler-233c;http://kepler.nasa.gov/Mission/discoveries/kepler233c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00790.02&type=KEPLER_CANDIDATE;;;0.242;2.71;;381;5.6184;60.418955;0.287;;89.38;
Kepler-234b;http://kepler.nasa.gov/Mission/discoveries/kepler234b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00800.01&type=KEPLER_CANDIDATE;;;0.33;3.7;;1372;3.1752;2.711506;0.04;;80.21;
Kepler-234c;http://kepler.nasa.gov/Mission/discoveries/kepler234c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00800.02&type=KEPLER_CANDIDATE;;;0.313;3.51;;990;4.0392;7.21205;0.077;;84.8;
Kepler-235b;http://kepler.nasa.gov/Mission/discoveries/kepler235b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00812.01&type=KEPLER_CANDIDATE;;;0.199;2.23;;723;1.9248;3.340222;0.037;;89.38;
Kepler-235c;http://kepler.nasa.gov/Mission/discoveries/kepler235c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00812.04&type=KEPLER_CANDIDATE;;;0.114;1.28;;550;2.2176;7.824904;0.065;;89.38;
Kepler-235d;http://kepler.nasa.gov/Mission/discoveries/kepler235d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00812.02&type=KEPLER_CANDIDATE;;;0.183;2.05;;400;3.312;20.060548;0.122;;89.38;
Kepler-235e;http://kepler.nasa.gov/Mission/discoveries/kepler235e;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00812.03&type=KEPLER_CANDIDATE;;;0.198;2.22;;303;4.8336;46.183669;0.213;;89.95;
Kepler-236b;http://kepler.nasa.gov/Mission/discoveries/kepler236b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00817.02&type=KEPLER_CANDIDATE;;;0.14;1.57;;504;1.3272;8.295611;0.065;;87.66;
Kepler-236c;http://kepler.nasa.gov/Mission/discoveries/kepler236c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00817.01&type=KEPLER_CANDIDATE;;;0.178;2;;355;4.1664;23.968127;0.132;;89.38;
Kepler-237b;http://kepler.nasa.gov/Mission/discoveries/kepler237b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00825.02&type=KEPLER_CANDIDATE;;;0.126;1.41;;794;2.352;4.715106;0.05;;83.65;
Kepler-237c;http://kepler.nasa.gov/Mission/discoveries/kepler237c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00825.01&type=KEPLER_CANDIDATE;;;0.186;2.08;;664;3.1512;8.103636;0.071;;85.94;
Kepler-238b;http://kepler.nasa.gov/Mission/discoveries/kepler238b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00834.04&type=KEPLER_CANDIDATE;;;0.154;1.73;;1327;3.192;2.090876;0.034;;72.19;
Kepler-238c;http://kepler.nasa.gov/Mission/discoveries/kepler238c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00834.03&type=KEPLER_CANDIDATE;;;0.213;2.39;;931;4.836;6.155557;0.069;;81.36;
Kepler-238d;http://kepler.nasa.gov/Mission/discoveries/kepler238d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00834.02&type=KEPLER_CANDIDATE;;;0.274;3.07;;722;6.6408;13.233549;0.115;;84.8;
Kepler-238e;http://kepler.nasa.gov/Mission/discoveries/kepler238e;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00834.01&type=KEPLER_CANDIDATE;0.534;169.7;0.5;5.6;;593;8.9456;23.654;0.16;;86.52;
Kepler-238f;http://kepler.nasa.gov/Mission/discoveries/kepler238f;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00834.05&type=KEPLER_CANDIDATE;0.042;13.5;0.178;2;;461;7.8835;50.447;0.265;;87.66;
Kepler-239b;http://kepler.nasa.gov/Mission/discoveries/kepler239b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00835.01&type=KEPLER_CANDIDATE;;;0.208;2.33;;586;2.8992;11.763051;0.095;;88.24;
Kepler-239c;http://kepler.nasa.gov/Mission/discoveries/kepler239c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00835.02&type=KEPLER_CANDIDATE;;;0.224;2.51;;347;3.7008;56.228098;0.268;;89.38;
Kepler-240b;http://kepler.nasa.gov/Mission/discoveries/kepler240b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00837.02&type=KEPLER_CANDIDATE;;;0.122;1.37;;823;2.3688;4.144495;0.048;;88.24;
Kepler-240c;http://kepler.nasa.gov/Mission/discoveries/kepler240c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00837.01&type=KEPLER_CANDIDATE;;;0.196;2.2;;662;2.5968;7.953528;0.074;;88.81;
Kepler-241b;http://kepler.nasa.gov/Mission/discoveries/kepler241b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00842.01&type=KEPLER_CANDIDATE;;;0.208;2.33;;548;3.1176;12.718092;0.094;;89.38;
Kepler-241c;http://kepler.nasa.gov/Mission/discoveries/kepler241c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00842.02&type=KEPLER_CANDIDATE;;;0.229;2.57;;387;4.272;36.065978;0.189;;89.38;
Kepler-242b;http://kepler.nasa.gov/Mission/discoveries/kepler242b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00853.01&type=KEPLER_CANDIDATE;;;0.233;2.61;;692;2.7408;8.20395;0.075;;89.95;
Kepler-242c;http://kepler.nasa.gov/Mission/discoveries/kepler242c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00853.02&type=KEPLER_CANDIDATE;;;0.178;2;;572;3.2232;14.496481;0.109;;89.95;
Kepler-243b;http://kepler.nasa.gov/Mission/discoveries/kepler243b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00857.01&type=KEPLER_CANDIDATE;;;0.219;2.45;;791;2.484;5.715442;0.062;;89.95;
Kepler-243c;http://kepler.nasa.gov/Mission/discoveries/kepler243c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00857.02&type=KEPLER_CANDIDATE;;;0.178;1.99;;522;1.32;20.026218;0.142;;88.81;
Kepler-244b;http://kepler.nasa.gov/Mission/discoveries/kepler244b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00864.01&type=KEPLER_CANDIDATE;;;0.246;2.76;;983;2.736;4.311792;0.05;;89.38;
Kepler-244c;http://kepler.nasa.gov/Mission/discoveries/kepler244c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00864.03&type=KEPLER_CANDIDATE;;;0.183;2.05;;745;1.3728;9.767292;0.087;;87.66;
Kepler-244d;http://kepler.nasa.gov/Mission/discoveries/kepler244d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00864.02&type=KEPLER_CANDIDATE;;;0.206;2.31;;587;4.5048;20.050401;0.14;;89.95;
Kepler-245b;http://kepler.nasa.gov/Mission/discoveries/kepler245b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00869.01&type=KEPLER_CANDIDATE;;;0.229;2.57;;785;2.8032;7.49019;0.071;;88.81;
Kepler-245c;http://kepler.nasa.gov/Mission/discoveries/kepler245c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00869.03&type=KEPLER_CANDIDATE;;;0.194;2.18;;593;2.244;17.460812;0.124;;88.24;
Kepler-245d;http://kepler.nasa.gov/Mission/discoveries/kepler245d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00869.02&type=KEPLER_CANDIDATE;;;0.27;3.03;;465;4.8048;36.277108;0.202;;89.38;
Kepler-246b;http://kepler.nasa.gov/Mission/discoveries/kepler246b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00874.01&type=KEPLER_CANDIDATE;;;0.209;2.34;;890;2.2272;4.60182;0.052;;87.09;
Kepler-246c;http://kepler.nasa.gov/Mission/discoveries/kepler246c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00874.02&type=KEPLER_CANDIDATE;;;0.134;1.5;;661;3.1608;11.187161;0.095;;88.24;
Kepler-247b;http://kepler.nasa.gov/Mission/discoveries/kepler247b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00884.03&type=KEPLER_CANDIDATE;;;0.146;1.64;;910;2.076;3.33616;0.042;;88.24;
Kepler-247c;http://kepler.nasa.gov/Mission/discoveries/kepler247c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00884.01&type=KEPLER_CANDIDATE;;;0.365;4.09;;643;2.8968;9.439452;0.084;;88.81;
Kepler-247d;http://kepler.nasa.gov/Mission/discoveries/kepler247d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00884.02&type=KEPLER_CANDIDATE;;;0.352;3.94;;497;3.0672;20.477912;0.14;;88.81;
Kepler-248b;http://kepler.nasa.gov/Mission/discoveries/kepler248b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00896.02&type=KEPLER_CANDIDATE;;;0.269;3.02;;839;3.0072;6.308205;0.066;;87.66;
Kepler-248c;http://kepler.nasa.gov/Mission/discoveries/kepler248c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00896.01&type=KEPLER_CANDIDATE;;;0.363;4.07;;613;4.0296;16.239494;0.123;;88.81;
Kepler-249b;http://kepler.nasa.gov/Mission/discoveries/kepler249b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00899.02&type=KEPLER_CANDIDATE;;;0.097;1.09;;629;1.7664;3.306539;0.035;;85.94;
Kepler-249c;http://kepler.nasa.gov/Mission/discoveries/kepler249c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00899.01&type=KEPLER_CANDIDATE;;;0.135;1.51;;489;2.22;7.113702;0.058;;87.66;
Kepler-249d;http://kepler.nasa.gov/Mission/discoveries/kepler249d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00899.03&type=KEPLER_CANDIDATE;;;0.14;1.57;;380;2.6976;15.368459;0.097;;88.24;
Kepler-250b;http://kepler.nasa.gov/Mission/discoveries/kepler250b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00906.03&type=KEPLER_CANDIDATE;;;0.101;1.13;;912;2.4024;4.148141;0.048;;87.66;
Kepler-250c;http://kepler.nasa.gov/Mission/discoveries/kepler250c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00906.01&type=KEPLER_CANDIDATE;;;0.203;2.28;;761;2.568;7.156804;0.069;;88.24;
Kepler-250d;http://kepler.nasa.gov/Mission/discoveries/kepler250d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00906.02&type=KEPLER_CANDIDATE;;;0.194;2.18;;562;1.98;17.648312;0.127;;88.24;
Kepler-251b;http://kepler.nasa.gov/Mission/discoveries/kepler251b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00907.03&type=KEPLER_CANDIDATE;;;0.119;1.33;;1153;2.7048;4.790936;0.053;;84.8;
Kepler-251c;http://kepler.nasa.gov/Mission/discoveries/kepler251c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00907.01&type=KEPLER_CANDIDATE;;;0.247;2.77;;765;4.1088;16.514043;0.122;;87.66;
Kepler-251d;http://kepler.nasa.gov/Mission/discoveries/kepler251d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00907.02&type=KEPLER_CANDIDATE;;;0.247;2.77;;625;4.92;30.133001;0.182;;88.24;
Kepler-251e;http://kepler.nasa.gov/Mission/discoveries/kepler251e;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00907.04&type=KEPLER_CANDIDATE;;;0.247;2.77;;420;4.3608;99.640161;0.404;;89.38;
Kepler-252b;http://kepler.nasa.gov/Mission/discoveries/kepler252b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00912.02&type=KEPLER_CANDIDATE;;;0.11;1.23;;608;1.9776;6.668391;0.058;;88.24;
Kepler-252c;http://kepler.nasa.gov/Mission/discoveries/kepler252c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00912.01&type=KEPLER_CANDIDATE;;;0.192;2.15;;519;2.976;10.848463;0.08;;89.38;
Kepler-253b;http://kepler.nasa.gov/Mission/discoveries/kepler253b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00921.03&type=KEPLER_CANDIDATE;;;0.145;1.63;;911;1.932;3.783986;0.046;;84.22;
Kepler-253c;http://kepler.nasa.gov/Mission/discoveries/kepler253c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00921.01&type=KEPLER_CANDIDATE;;;0.236;2.65;;652;3.516;10.281951;0.089;;87.66;
Kepler-253d;http://kepler.nasa.gov/Mission/discoveries/kepler253d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00921.02&type=KEPLER_CANDIDATE;;;0.283;3.17;;538;4.2888;18.119869;0.13;;88.24;
Kepler-254b;http://kepler.nasa.gov/Mission/discoveries/kepler254b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00934.01&type=KEPLER_CANDIDATE;;;0.345;3.87;;994;3.0312;5.826662;0.064;;84.8;
Kepler-254c;http://kepler.nasa.gov/Mission/discoveries/kepler254c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00934.02&type=KEPLER_CANDIDATE;;;0.192;2.15;;772;3.3624;12.412183;0.105;;86.52;
Kepler-254d;http://kepler.nasa.gov/Mission/discoveries/kepler254d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00934.03&type=KEPLER_CANDIDATE;;;0.223;2.5;;674;3.96;18.746477;0.139;;87.66;
Kepler-255b;http://kepler.nasa.gov/Mission/discoveries/kepler255b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00938.03&type=KEPLER_CANDIDATE;;;0.138;1.55;;878;2.2368;5.714606;0.063;;84.22;
Kepler-255c;http://kepler.nasa.gov/Mission/discoveries/kepler255c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00938.01&type=KEPLER_CANDIDATE;;;0.267;2.99;;729;3.3792;9.946047;0.092;;86.52;
Kepler-256b;http://kepler.nasa.gov/Mission/discoveries/kepler256b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00939.03&type=KEPLER_CANDIDATE;;;0.142;1.59;;1487;2.2416;1.620493;0.027;;83.65;
Kepler-256c;http://kepler.nasa.gov/Mission/discoveries/kepler256c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00939.01&type=KEPLER_CANDIDATE;;;0.192;2.15;;1165;2.628;3.38802;0.045;;86.52;
